"Buurten";"doet aan sport %|2022";"verplaatst zich meestal te voet %|2022";"verplaatst zich meestal per fiets %|2022";"verplaatst zich meestal per auto %|2022";"verplaatst zich meestal per openbaar vervoer %|2022"
"Achtse Barrier-Gunterslaer";69;16;36;44;4
"Achtse Barrier-Hoeven";69;9;35;52;4
"Achtse Barrier-Spaaihoef";71;9;32;55;4
"Barrier";68;9;42;43;6
"BeA2";".";".";".";".";"."
"Beemden";".";".";".";".";"."
"Bennekel-Oost";61;18;42;36;4
"Bennekel-West, Gagelbosch";61;18;42;36;4
"Bergen";81;46;30;20;3
"Binnenstad";75;41;36;16;7
"Blaarthem";75;23;46;29;3
"Blixembosch-Oost";79;8;37;50;5
"Blixembosch-West";79;8;37;50;5
"Bloemenplein";77;27;44;26;3
"Bokt";".";".";".";".";"."
"Bosrijk";82;13;42;40;5
"Burghplan";63;16;48;30;6
"Castiliëlaan";".";".";".";".";"."
"Doornakkers-Oost";69;15;44;37;3
"Doornakkers-West";69;15;44;37;3
"Drents Dorp";64;7;47;43;3
"Driehoeksbos";70;14;39;42;4
"Eckart";63;17;32;46;5
"Eckartdal";".";".";".";".";"."
"Eikenburg";84;5;63;30;3
"Eindhoven Airport";".";".";".";".";"."
"Eliasterrein, Vonderkwartier";82;22;50;26;2
"Elzent-Noord";84;18;47;31;4
"Elzent-Zuid";84;18;47;31;4
"Engelsbergen";82;22;50;26;2
"Esp";".";".";".";".";"."
"Fellenoord";".";".";".";".";"."
"Flight Forum";".";".";".";".";"."
"Genderbeemd";69;11;46;41;3
"Genderdal";63;8;47;40;5
"Generalenbuurt";60;17;40;41;2
"Gennep";".";".";".";".";"."
"Genneperzijde";84;18;47;31;4
"Gerardusplein";79;23;50;24;3
"Gijzenrooi";81;6;53;37;4
"Gildebuurt";70;40;36;18;6
"Grasrijk";82;13;42;40;5
"Hagenkamp";80;30;43;23;4
"Hanevoet";64;15;39;40;6
"Heesterakker";71;6;36;56;3
"Hemelrijken";70;40;36;18;6
"Herdgang";".";".";".";".";"."
"Het Ven";71;18;49;28;6
"Hondsheuvels";".";".";".";".";"."
"Hurk";".";".";".";".";"."
"Irisbuurt";76;27;50;20;4
"Jagershoef";70;26;31;38;4
"Joriskwartier";80;35;44;18;4
"Kapelbeemd";".";".";".";".";"."
"Karpen";85;19;47;31;3
"Kerkdorp Acht";75;3;31;63;3
"Kerstroosplein";77;27;44;26;3
"Koudenhoven";85;19;47;31;3
"Kronehoef";68;19;44;34;3
"Kruidenbuurt";77;14;44;39;3
"Lakerlopen";69;26;43;29;3
"Leenderheide";".";".";".";".";"."
"Lievendaal";65;16;37;41;5
"Limbeek-Noord";70;30;41;25;4
"Limbeek-Zuid";70;30;41;25;4
"Looiakkers";80;35;44;18;4
"Luytelaer";82;10;46;39;5
"Meerbos";".";".";".";".";"."
"Meerrijk";78;22;34;38;6
"Mensfort";68;19;44;34;3
"Mispelhoef";".";".";".";".";"."
"Muschberg, Geestenberg";68;9;49;38;3
"Nieuwe Erven";76;27;50;20;4
"Ooievaarsnest";64;15;39;40;6
"Oude Gracht-Oost";82;10;46;39;5
"Oude Gracht-West";68;21;32;44;3
"Oude Spoorbaan";80;30;43;23;4
"Oude Toren";69;18;46;32;5
"Park Forum";".";".";".";".";"."
"Philipsdorp";78;25;45;26;4
"Poeijers";".";".";".";".";"."
"Prinsejagt";70;14;39;42;4
"Puttense Dreef";81;6;53;37;4
"Rapelenburg";75;23;46;29;3
"Rapenland";68;19;44;34;3
"Riel";".";".";".";".";"."
"Rochusbuurt";80;35;44;18;4
"Roosten";84;5;63;30;3
"Schoot";71;18;49;28;6
"Schouwbroek";78;25;45;26;4
"Schrijversbuurt";80;30;43;23;4
"Schuttersbosch";81;6;53;37;4
"Sintenbuurt";63;16;48;30;6
"Sportpark Aalsterweg";".";".";".";".";"."
"Strijp S";86;20;54;21;4
"'t Hofke";68;9;49;38;3
"'t Hool";63;37;27;33;3
"Tempel";60;15;35;45;4
"Tivoli";63;16;48;30;6
"Tongelresche Akkers";71;21;34;42;2
"Tuindorp";76;27;50;20;4
"TU-terrein";".";".";".";".";"."
"Urkhoven";".";".";".";".";"."
"Vaartbroek";60;21;25;49;5
"Villapark";85;19;47;31;3
"Vlokhoven";54;21;30;46;4
"Vredeoord";".";".";".";".";"."
"Waterrijk";78;22;34;38;6
"Wielewaal";".";".";".";".";"."
"Winkelcentrum";63;37;27;33;3
"Witte Dame";81;46;30;20;3
"Woenselse Heide";61;18;36;41;5
"Woenselse Watermolen";69;18;46;32;5
"Woensel-West";73;12;53;32;3
"Zandrijk";82;13;42;40;5
"Zwaanstraat";83;5;59;33;3
