"Buurten";"Totaal 0-9 jaar|2023";"Totaal 10-19 jaar|2023";"Totaal 20-29 jaar|2023";"Totaal 30-39 jaar|2023";"Totaal 40-49 jaar|2023";"Totaal 50-59 jaar|2023";"Totaal 60-69 jaar|2023";"Totaal 70-79 jaar|2023";"Totaal 80-89 jaar|2023";"Totaal 90 jaar en ouder|2023"
"Achtse Barrier-Gunterslaer";388;379;381;528;470;544;522;391;104;10
"Achtse Barrier-Hoeven";377;438;384;546;475;576;634;360;106;11
"Achtse Barrier-Spaaihoef";472;485;351;693;570;605;798;365;113;19
"Barrier";163;261;355;277;298;260;212;150;62;2
"BeA2";0;0;7;4;4;8;6;2;0;0
"Beemden";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x"
"Bennekel-Oost";281;286;715;651;426;360;287;227;80;19
"Bennekel-West, Gagelbosch";243;290;425;517;382;413;375;377;260;62
"Bergen";112;150;986;644;277;316;162;125;55;5
"Binnenstad";123;382;1652;843;347;246;245;190;65;15
"Blaarthem";226;255;457;470;303;322;269;151;62;11
"Blixembosch-Oost";811;1034;742;804;989;1516;792;342;195;21
"Blixembosch-West";183;248;195;195;232;342;379;206;50;6
"Bloemenplein";96;103;339;246;146;130;93;76;26;3
"Bokt";13;19;16;10;11;31;15;5;8;0
"Bosrijk";58;98;22;56;125;83;40;24;1;0
"Burghplan";288;314;505;514;421;406;289;165;80;10
"Castiliëlaan";44;32;72;68;33;17;20;4;1;0
"Doornakkers-Oost";288;293;420;479;402;357;279;189;133;52
"Doornakkers-West";342;320;734;617;449;444;335;250;83;11
"Drents Dorp";298;267;305;428;387;305;240;141;45;4
"Driehoeksbos";59;100;75;55;82;174;151;165;71;17
"Eckart";412;478;596;603;468;562;469;394;266;32
"Eckartdal";2;9;17;31;44;66;79;49;17;3
"Eikenburg";148;213;130;151;188;257;203;163;65;22
"Eindhoven Airport";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x"
"Eliasterrein, Vonderkwartier";279;333;710;565;430;391;327;171;93;25
"Elzent-Noord";85;106;229;187;122;124;104;107;46;5
"Elzent-Zuid";13;37;34;13;31;48;52;52;17;2
"Engelsbergen";31;73;90;81;52;111;88;80;21;6
"Esp";1;0;3;1;1;1;1;3;4;0
"Fellenoord";3;11;122;47;6;0;0;1;0;0
"Flight Forum";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x"
"Genderbeemd";353;338;461;534;470;438;454;404;113;13
"Genderdal";245;275;507;531;353;360;269;220;135;17
"Generalenbuurt";421;497;970;877;640;651;553;426;297;67
"Gennep";2;4;7;8;3;6;0;5;0;0
"Genneperzijde";76;136;158;91;117;123;154;184;205;107
"Gerardusplein";354;409;559;531;466;445;343;195;58;14
"Gijzenrooi";161;188;151;158;202;289;354;190;73;8
"Gildebuurt";85;146;760;454;241;218;150;161;71;14
"Grasrijk";916;861;397;1122;1221;706;391;278;76;10
"Hagenkamp";60;81;169;197;136;100;100;134;163;61
"Hanevoet";314;468;389;430;506;517;452;429;143;16
"Heesterakker";277;288;258;329;306;420;352;301;108;8
"Hemelrijken";320;367;1448;700;474;391;278;173;72;5
"Herdgang";0;0;3;0;1;4;1;1;1;0
"Het Ven";380;311;786;698;449;457;300;254;145;42
"Hondsheuvels";27;16;27;27;19;15;22;60;116;45
"Hurk";1;2;7;16;8;4;8;5;0;0
"Irisbuurt";244;185;634;588;351;280;217;125;40;7
"Jagershoef";327;424;459;489;397;456;364;318;212;34
"Joriskwartier";113;87;344;280;117;131;93;60;40;10
"Kapelbeemd";14;10;16;14;10;17;17;6;3;0
"Karpen";34;63;25;29;51;70;80;74;42;7
"Kerkdorp Acht";281;393;328;315;411;560;600;431;193;43
"Kerstroosplein";199;206;382;325;274;247;175;82;38;4
"Koudenhoven";53;79;25;33;80;76;74;82;28;10
"Kronehoef";313;317;1035;793;432;431;370;374;454;188
"Kruidenbuurt";465;353;498;628;469;406;264;144;44;2
"Lakerlopen";249;253;773;599;455;346;244;195;104;6
"Leenderheide";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x"
"Lievendaal";307;333;411;540;487;411;330;243;84;6
"Limbeek-Noord";159;169;1170;664;274;181;126;72;34;2
"Limbeek-Zuid";93;135;258;216;159;183;204;105;20;1
"Looiakkers";28;33;247;140;67;44;47;71;17;5
"Luytelaer";87;95;57;81;102;124;140;152;130;13
"Meerbos";4;7;9;4;10;5;9;6;0;0
"Meerrijk";77;38;165;239;78;73;128;117;19;0
"Mensfort";293;267;555;587;360;362;305;247;127;14
"Mispelhoef";0;1;4;1;4;2;5;7;0;0
"Muschberg, Geestenberg";306;442;600;603;510;535;386;428;117;14
"Nieuwe Erven";76;87;298;203;139;122;90;79;38;4
"Ooievaarsnest";76;124;47;63;121;123;132;153;57;8
"Oude Gracht-Oost";128;190;102;116;157;201;178;144;78;21
"Oude Gracht-West";237;224;481;532;324;324;242;257;177;29
"Oude Spoorbaan";143;134;639;490;228;242;164;128;32;4
"Oude Toren";108;89;338;214;127;166;191;259;168;25
"Park Forum";3;6;2;4;5;4;1;0;0;0
"Philipsdorp";188;150;971;693;372;352;257;162;60;19
"Poeijers";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x"
"Prinsejagt";403;433;686;654;575;607;517;453;342;68
"Puttense Dreef";157;169;113;192;198;194;141;93;21;11
"Rapelenburg";132;92;347;265;131;114;112;64;21;3
"Rapenland";212;212;666;390;272;243;186;127;57;7
"Riel";8;18;12;5;18;25;17;17;5;2
"Rochusbuurt";120;133;673;354;192;141;100;77;15;2
"Roosten";75;163;35;32;124;121;77;80;33;4
"Schoot";179;253;1284;677;334;296;269;170;68;17
"Schouwbroek";123;126;297;272;177;217;172;106;36;3
"Schrijversbuurt";312;394;677;437;471;462;438;301;105;17
"Schuttersbosch";42;102;25;37;102;112;83;88;66;11
"Sintenbuurt";239;210;252;366;264;215;173;119;49;14
"Sportpark Aalsterweg";2;2;3;6;2;2;1;4;0;1
"Strijp S";63;53;1592;896;174;141;66;21;4;0
"'t Hofke";334;444;645;458;423;503;474;355;152;17
"'t Hool";276;317;277;335;296;295;192;162;104;15
"Tempel";523;641;546;667;621;662;568;526;387;38
"Tivoli";189;135;162;248;200;216;191;127;44;10
"Tongelresche Akkers";383;261;158;498;375;146;93;76;17;2
"Tuindorp";210;270;558;379;340;319;243;209;230;137
"TU-terrein";0;94;557;96;10;2;1;0;0;0
"Urkhoven";16;26;29;15;22;23;22;11;8;1
"Vaartbroek";577;667;707;734;697;696;528;445;221;35
"Villapark";202;274;488;339;323;322;258;183;68;8
"Vlokhoven";325;413;539;453;397;424;400;303;249;48
"Vredeoord";0;25;96;109;93;68;61;23;2;0
"Waterrijk";415;487;195;496;589;273;64;40;2;0
"Wielewaal";6;25;12;8;14;21;12;7;5;0
"Winkelcentrum";15;28;191;136;78;76;50;66;38;3
"Witte Dame";117;56;855;628;195;151;111;107;44;6
"Woenselse Heide";570;691;596;655;649;738;592;439;291;43
"Woenselse Watermolen";200;79;349;543;155;78;77;78;45;7
"Woensel-West";602;577;1329;1028;632;519;283;147;45;5
"Zandrijk";325;430;218;357;506;452;268;263;87;5
"Zwaanstraat";324;116;70;368;278;123;64;22;2;0
"Onbekend";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x"
